카테고리1,카테고리2,대분류
패딩,패딩,Outer
캐주얼상의,티셔츠,Top
재킷,더블브레스티드재킷,Outer
베스트,패딩조끼,Outer
코트,더플코트,Outer
셔츠,셔츠,Top
샌들,샌들,Accessory
드레스,드레스,Dress&Setup
캐주얼상의,후드,Top
재킷,트럭커,Outer
재킷,바람막이,Outer
캐주얼상의,스웨트셔츠,Top
코트,케이프,Outer
스커트,플레어스커트,Bottom
니트웨어,가디건,Top
팬츠,슬랙스,Bottom
드레스,멜빵원피스,Dress&Setup
점퍼,야상,Outer
코트,트렌치코트,Outer
모자,귀마개,Accessory
캐주얼상의,폴로셔츠,Top
팬츠,스웨트팬츠,Bottom
재킷,집업재킷,Outer
블라우스,블라우스,Top
스커트,러플스커트,Bottom
탑,파자마상의,Top
팬츠,잠옷바지,Bottom
드레스,튜닉원피스,Dress&Setup
드레스,슬립드레스,Dress&Setup
드레스,파자마드레스,Dress&Setup
점프수트,점프수트,Dress&Setup
드레스,튤드레스,Dress&Setup
스커트,티어드스커트,Bottom
드레스,페플럼드레스,Dress&Setup
청바지,청반바지,Bottom
점프수트,멜빵바지,Dress&Setup
스커트,플리츠스커트,Bottom
니트웨어,스웨터,Top
팬츠,배기팬츠,Bottom
코트,모피코트,Outer
잡화,타이츠스타킹,Accessory
,타이츠스타킹,Accessory
스커트,트럼펫스커트,Bottom
스커트,튤스커트,Bottom
드레스,셔츠원피스,Dress&Setup
스커트,스커트,Bottom
탑,뷔스티에,Top
팬츠,와이드팬츠,Bottom
드레스,데님원피스,Dress&Setup
재킷,발마칸재킷,Outer
점퍼,집업점퍼,Outer
운동화,스니커즈,Accessory
코트,코트,Outer
점퍼,블루종,Outer
베스트,집업베스트,Top
팬츠,치노팬츠,Bottom
운동화,하이탑스니커즈,Accessory
모자,비니,Accessory
베스트,베스트,Top
점퍼,항공점퍼,Outer
청바지,청바지,Bottom
부츠/워커,어그부츠,Accessory
운동화,슬립온,Accessory
드레스,피케원피스,Dress&Setup
드레스,니트원피스,Dress&Setup
니트웨어,터틀넥,Top
